Clave ,Descripci—n ,L’nea ,Unidad de entrada ,Fecha de œltima compra ,Fecha de œltima venta ,Existencias 
ESCARH,ESCRITORIO C/ARCHIVERO MICH,MICH,PIEZA,,03/01/12,0
ESCEL01,ESCRITORIO ELEGANCE 180 X 80,MICH,PIEZA,10/10/17,13/12/17,0
ESCEL02,ESCR ELEGANCE 170 X 80,MICH,PIEZA,15/01/18,24/11/17,1
ESCEL03,ESCRITORIO ELEGANCE 160 X 60,MICH,PIEZA,,,0
ESCEL04,ESCR ELEGANCE 160 X 60 LAT 120 X 60 S/C,MICH,PIEZA,26/02/18,23/02/18,0
ESCHPSJ200,ESCANER SCANJET HP 200 FLATBED PHOTO,KC  C,PIEZA,08/01/15,12/01/15,0
ESCMON1,ESCR MONACO 160 X 60 MARCO ESPEJO 2 CAJ,MICH,PIEZA,14/03/18,23/03/18,0
ESCR9301,9301AR ESCRITORIO 120 CON PEDESTAL ARENA,NH  F,PIEZA,12/02/14,17/02/14,0
ESCRI01,ESCRITORIO METALICO 1.50X60 SECRET,NH  F,PIEZA,23/02/15,25/02/15,0
ESCRI09,MUEBLE DE COMUTO MOBILE 56660,DEPOT,PIEZA,19/06/14,19/06/14,0
ESCUA01,ESCUADRA Y CURVA FRA JGO 7173,OBL C,PIEZA,22/08/11,24/08/11,0
ESCUA02,ESCUADRA S/GRADUACION HANSA M-2845/60 C/,OBL C,PIEZA,11/04/13,,0
ESCUA03,ESCUADRA S/GRAD BACO SP -2845/60,OBL C,PIEZA,18/06/14,15/12/15,0
ESCUA04,ESCUADRA C/GRAD BACO SP 28-45/60,OBL C,Juego,01/11/14,10/11/14,0
ESCUA05,JGO ESCUADRA TEKNIK PROF C/BISEL,OCK C,Pieza,28/02/17,28/03/17,0
ESCUA09,ESCUADRA TRUPER PROF ECT12 COMBINACION,OBL C,PIEZA,02/03/12,02/03/12,0
ESCUA10,ESCUADRA BACO 45¡ No.5245 ECON,OBL C,PIEZA,01/04/14,22/04/14,0
ESCUA11,ESCUADRA BACO  SP-3045/60 C/GR,OBL C,JUEGO,04/03/14,04/03/14,0
ESCUAD1,ESCUADRA MADERA MEDIDA,MICH,PIEZA,09/03/15,,0
ESPA3P,ESPATULA 3 PULGADAS,U   F,PIEZA,17/06/15,17/06/15,0
ESPON01,ESPONJERO PLASTICO KAISER CHICO,OHJ C,PIEZA,24/01/17,01/03/18,9
ESPON02,ESPONJERO PLASTICO KAISER GRANDE,OHJ C,Pieza,21/01/16,19/02/10,0
ESPON03,ESPONJERO VALMAR GRANDE,OHJ C,PIEZA,04/04/18,,6
ESPUL21334,ESPUMA LIMPIADORA OFFICE DEPOT 21334,DEPOT,PIEZA,12/04/16,14/04/16,0
ESPUM1,CUADRO DE ESPUMA 1x1 D20/35,U   F,PIEZA,05/08/14,,0
ESTOPA2,ESTOPA COLOR DEL OSO,U   F,KILOGRAMO,25/10/12,25/10/12,0
ESTOPA3,ESTOPA INDUSTRIAL,U   F,Kgs.,18/01/16,18/01/16,0
ESTREL01,ESTRELLAS MEDIANA No.16 V/COLORES,U   F,PIEZA,17/08/13,,0
ESTRUC01,ESTRUCTURA DE 1.30X60 MR-210,U   F,PIEZA,19/07/17,12/05/17,0
ESTRUC02,ESTRUCTURA MC-200 INFALTIL,FA  C,PIEZA,27/05/15,29/06/17,2
ESTUC01,ESTUCHE LAPIZ ARTESCO MULTIBOX GDE,U   F,PIEZA,20/01/15,22/01/15,0
ESTUC02,ESTUCHE PORTA LAPIZ MAPED STUDY BOX,ODK C,PIEZA,26/01/15,,0
ESTUC03,ESTUCHE PORTA LAPIZ BARRILITO MOD. 1002,ODK C,PIEZA,26/02/18,27/02/18,0
ESTUC662,ESTUCHE TRANSPORTE BROTHER IMP PJ662,FA  C,PIEZA,13/08/15,13/08/15,0
ESTUS04,PSC-55 ESTUCHE  P/CAMARA CANON,,PIEZA,03/05/12,03/05/12,0
ESTUS05,ESTUCHE NEGRO P/DVD SLIM,U   F,PIEZA,24/09/10,24/09/10,0
ESTUS06,DCB302 ESTUCHE PARA CAMARA,,Pieza,21/10/13,23/10/13,0
ESTUS07,GENMOB ESTUCHE PARA CAMARA,,Pieza,,28/11/13,0
ET001,****NO USAR****NAL 1.40 X.60 P/TUBO 16MM,NH  F,Pieza,,13/10/14,0
ETI5162A,ETIQUETA AVERY 5260 P/LASER 1x2 5/8,OBN C,PIEZA,24/03/18,22/03/18,5
ETI5163,ETIQUETA JANEL 5163 C/25   5.1x 10.2cm,OBN C,PIEZA,05/03/18,05/03/18,9
ETI5163A,ETIQUETA AVERY 5163 P/LASER C/100,OBN C,PIEZA,10/02/12,10/02/12,0
ETI5164A,ETIQUETA JANEL 5164 3 1/3 X4 C/25,OBN C,PIEZA,26/03/18,05/04/18,17
ETI5165,ETIQUETA AVERY 5165 8 1/2 X 11 C/100,OBN C,PIEZA,26/03/18,03/04/18,2
ETI5165.,ETIQUETA JANEL 5165 C/25 8.5X11,OBN C,PIEZA,14/03/18,05/04/18,19
ETI5262,EITQ AVERY 5262 1 1/3 X4,OBN C,PIEZA,12/02/18,05/04/18,0
ETI5263,ETIQUETA AVERY 5263 CTA,OBN C,PIEZA,27/01/14,28/01/14,0
ETI5408,ETIQ AVERY 5408 BLANCA  3/4,OBN C,PIEZA,19/05/0201,30/06/17,3
ETI5481,ETIQUETA AVERY 5481 1X3,OBN C,PIEZA,13/02/12,14/02/12,0
ETI5692,ETIQUETA AVERY 5692 C/40,OBN C,PIEZA,07/08/13,16/12/13,0
ETIBR1209,ETIQUETA BROTHER 1209 1-1/7X2 3/7 800ETQ,OBN C,PIEZA,13/01/14,22/01/14,0
ETIJ1338L,ETIQUETA JANEL No. 06 (1338) AMARILLO,OBN C,PIEZA,03/01/18,12/02/18,37
ETIJ1338R,ETIQUETA JANEL No. 06 (1338) ROSA,OBN C,PIEZA,22/08/17,18/12/17,0
ETIJ1338V,ETIQUETA JANEL No. 06 (1338) VERDE,OBN C,PIEZA,22/08/17,05/01/18,3
ETIJ5260,ETIQ JANEL 5260 C750 LASER 2.5X6.7,OBN C,PIEZA,03/05/17,19/10/17,6
ETIJ5261,ETIQ JANEL J-5261 2.5X10.2 C/500,OBN C,PIEZA,10/09/14,11/08/15,0
ETIJ5262,ETIQUETA JANEL 5262 3.4X10.2,OBN C,PIEZA,29/10/12,01/12/17,0
ETIJA01,ETIQUETA JANEL No. 01 (0913) C/3600,OBN C,PIEZA,03/08/17,01/03/18,38
ETIJA01A,ETIQUETA JANEL No. 01 (0913) COLOR,OBN C,PIEZA,05/12/13,19/02/10,11
ETIJA02,ETIQUETA JANEL No. 02 (1622) C/1280,OBN C,PIEZA,20/01/17,12/01/18,16
ETIJA03,ETIQUETA JANEL No. 03 (1717),OBN C,PIEZA,,19/02/10,7
ETIJA04,ETIQUETA JANEL No. 04 (0820) C/2520,OBN C,PIEZA,07/08/17,03/03/18,26
"ETIJA04,",ETIQUETA JANEL No. 04 (0820) VERDE,OBN C,PIEZA,02/09/17,05/12/15,0
ETIJA04E,ETIQUETA JANEL No. 04 (0820) AMARILLA,OBN C,PIEZA,14/11/17,,11
ETIJA05,ETIQUETA JANEL No. 5,OBN C,PIEZA,17/07/14,19/02/10,10
ETIJA06,ETIQUETA JANEL No. 06 (1338) BLANCA,OBN C,PAQ C/900,12/03/18,03/04/18,78
ETIJA06V,ETIQUETA JANEL No. 06 (1338) VERDE,OBN C,PAQ C/900,,08/04/16,0
ETIJA07,ETIQUETA JANEL No. 07 (2538),OBN C,PIEZA,12/03/18,12/03/18,64
ETIJA08,ETIQUETA JANEL No. 08 (2513),OBN C,PIEZA,07/11/17,06/02/18,25
ETIJA09,ETIQUETA JANEL No. 09 (0013),OBN C,PIEZA,23/02/18,18/09/17,47
ETIJA10,ETIQUETA JANEL No. 10 (0009) C/4620,OBN C,PIEZA,11/04/13,13/12/17,11
ETIJA11,ETIQUETA JANEL No. 11 C/1680,OBN C,PIEZA,23/05/06,03/07/12,0
ETIJA12,ETIQUETA JANEL No. 12 (0025) BCA,OBN C,PIEZA,27/05/17,03/04/18,9
ETIJA13,ETIQUETA JANEL No. 13 C/180 (6747),OBN C,PIEZA,02/04/18,02/04/18,24
ETIJA15,ETIQUETA JANEL No. 15 C/504 (1950),OBN C,PIEZA,23/02/18,03/04/18,60
ETIJA19,ETIQUETA JANEL No. 19 (5050) C/168,OBN C,PIEZA,02/04/18,02/04/18,55
ETIJA19E,ETIQUETA JANEL No. 28 (0019) PLATA,OBN C,PIEZA,18/04/13,19/04/13,0
ETIJA20,ETIQUETA JANEL No. 20 FILE C/280,OBN C,PIEZA,28/02/18,04/04/18,72
ETIJA21,ETIQUETA JANEL No. 21 (0534) C/2484,OBN C,PIEZA,29/07/14,30/05/17,3
ETIJA21P,HOJA ETIQUETA JANEL No. 21 (0534),OBN C,Pieza,,,0
ETIJA22,ETIQUETA JANEL No. 22 (1319),OBN C,PIEZA,29/07/14,19/02/10,1
ETIJA23,ETIQUETA JANEL No. 23 (1938),OBN C,PIEZA,07/11/17,04/04/18,43
ETIJA24,ETIQUETA JANEL No. 24  (3264) BCA,OBN C,Paquete,12/03/18,12/03/18,74
ETIJA24B,****NO USAR**** DUP ETIQA JANEL No.24,OBN C,Pieza,28/03/15,06/05/15,0
ETIJA24V,****NO USAR**** No. 24 (3264) VERDE,OBN C,Paquete,,,0
ETIJA25,ETIQUETA JANEL No. 25 (5000) BLANCA,OBN C,PIEZA,22/01/18,06/03/18,25
ETIJA25ECO,ETIQUETA JANEL No. 25 (5000) NARANJA,OBN C,PAQ C/48,19/12/16,19/02/10,0
ETIJA26,ETIQUETA JANEL No. 26 (0952),OBN C,PIEZA,12/11/16,29/03/17,13
ETIJA28,ETIQUETA JANEL No. 28 (0019) BLANCA,OBN C,PIEZA,11/02/16,19/02/10,14
ETIJA28A,ETIQUETA JANEL No. 28 (0019) AMARILLO,OBN C,PAQUETE,28/03/17,04/05/17,0
ETIJA28N,ETIQUETA JANEL No. 28 (0019) NARANJA,OBN C,PAQUETE,28/03/17,31/01/18,33
ETIJA28NG,ETIQUETA JANEL No. 28 (0019) NEGRA,OBN C,PAQUETE,11/02/16,12/02/16,0
ETIJA28O,ETIQUETA JANEL No. 28 (0019) ORO,OBN C,PAQUETE,03/05/0201,19/02/10,0
ETIJA28RS,ETIQUETA JANEL No. 28 (0019) ROSA,OBN C,PAQUETE,15/02/18,12/02/16,4
ETIJA28V,ETIQUETA JANEL No. 28 (0019) VERDE,OBN C,PAQUETE,28/03/17,29/03/17,0
ETIJA29,ETIQUETA JANEL No. 29 (0032) REDONDA,OBN C,PIEZA,17/01/08,19/02/10,4
ETIJA29P,HOJA ETIQUETA JANEL No. 29 (0032) REDOND,OBN C,Pieza,,,0
ETIJA3264,ETIQUETA JANEL No. 24 (3264) VERDE,OBN C,PIEZA,27/11/17,29/11/17,0
ETIJA3364N,ETIQUETA JANEL No. 24 (3264) NARANJA,OBN C,PIEZA,13/11/17,23/02/18,5
ETIJA36R,ETIQUETA JANEL No. 24 (3264) ROSA,OBN C,PIEZA,23/07/16,19/02/10,15
ETIJA37,ETIQUETA JANEL No. 24 (3264) AMARILLO,OBN C,PIEZA,27/11/17,29/11/17,0
ETIJA5010,ETIQUETA NAVITEK 50100 NARANJA,OBN C,PIEZA,29/09/14,,0
ETIJA5165E,ETIQUETA JANEL 5165 C/100,OBN C,PAQUETE,07/01/16,18/01/16,0
ETIJA59,ETIQ AVERY 5970 2.5X6.7,OBN C,PIEZA,,,0
ETILA05,"ETIQUETA AVERY CIRC 2105 3/4"" VDE 2105",DEPOT,PIEZA,18/05/0201,07/08/17,8
ETILA61,ETIQUETA AVERY 5160 2.5 X 6.7,OBN C,CJA C/100,24/03/18,19/02/10,9
ETILA62,"ETIQUETA AVERY 5261 LASER 1""x 4"" C/ 500",OBN C,PIEZA,27/11/17,28/11/17,0
ETILA63,ETIQ AVERY 5161 1X4 C/2000 LASER,OBN C,PIEZA,19/09/16,14/06/17,0
ETILA67,ETIQUETA AVERY 5267 1/2 X 1 3/4 C/2000,OBN C,PIEZA,04/12/17,14/12/17,14
ETILA68,ETIQUETA JANEL 5267 T/C C/25,OBN C,PIEZA,07/08/17,04/04/18,19
ETILA69,ETIQUETA AVERY 5931 IMPRE LASER  CD DVD,OBN C,PIEZA,11/12/13,24/08/10,0
ETILA79,ETIQUETA AVERY 5266 2/3x3 7/16 P/FOLDER,OBN C,PIEZA,30/10/12,19/02/10,1
ETILA79.,ETIQUETA AVERY 5366 P/FOLDER BCA C/1500,OBN C,PIEZA,01/02/18,01/02/18,0
ETILA79A,ETIQ JANEL 5266 T/C 25HJ,OBN C,PIEZA,08/03/16,15/03/16,0
ETILA83,ETIQUETA AVERY 8371 TARJ PRESENTACION,OBN C,PIEZA,04/09/08,19/02/10,1
ETILLA2,ETIQ P/LLAVE ARIL MET C/50 11025,OBM C,CAJA,15/07/14,06/01/15,0
ETILLA3,ETIQ P/LLAVE PLASTICO C/60 COL.,OBM C,PIEZA,02/07/12,27/07/12,0
ETILLA4,ETIQ PORTA LLAVES C/24 ACRIMET 141.0,OBM C,PIEZA,10/03/18,17/03/18,2
ETILLA6,ORG ETIQUETA P/LLAVES  C/8 ACRIMET,OBM C,PIEZA,25/06/12,25/06/12,0
ETILLA8,ETIQUETA PORTALLAVES ACRIMET C/60 142.0,OBM C,PAQUETE,12/02/18,20/02/18,2
ETIQ102,ETIQUETA P/COLGAR No102 C/100,OBN C,PIEZA,26/08/13,18/07/11,0
ETIQ3215,ETIQUETA RODAK 3.5X15/16 C/5MILL 1 PASO,OBN C,PIEZA,01/04/16,02/04/16,0
ETIQ367,ETIQUETA TT 36X7MM RECT ROLLO,OBN C,PIEZA,18/08/14,20/08/14,0
ETIQ4115,ETIQUETA RODAK 4X1 15/16 C/5M 1 PASO,OBN C,PIEZA,22/07/13,,0
ETIQ5125,ETIQUETA TT 51X25 1 PASO,OBN C,PIEZA,,22/07/14,0
ETIQ5795,ETIQUETA AVERY 5795 1/4 COLORESC/576,DEPOT,PIEZA,19/11/14,09/12/14,0
ETIQ700,ETIQUETADORA BROTHER  QL-700,OBM C,PIEZA,01/06/15,05/07/17,0
ETIQ7625,ETIQUETA TD 76X25 MM ROLLO C/1000,OBN C,PIEZA,11/09/14,31/03/17,0
ETIQ8GS,ETIQUETA ROLLO 8GS COLOR,OBN C,PIEZA,12/01/16,,0
ETIQA01,ETIQUETA AVERY 2110 CIRC AZ 3/4,OBN C,PIEZA,28/05/15,02/06/15,0
ETIQA02,ETIQUETA AVERY 2107 CIRC ROJA 3/4,OBN C,PIEZA,18/05/0201,11/10/17,5
ETIQA03,ETIQUETA AVERY 2109 CIRC VERDE 3/4,DEPOT,PIEZA,18/05/0201,11/10/17,1
ETIQA04,ETIQUETA AVERY 2104 CIRC AMAR 3/4,OBN C,PIEZA,01/10/16,16/03/18,3
ETIQA04A,ETIQUETA AVERY 5472 ROJA 3/4,OBN C,PIEZA,28/04/15,14/08/15,0
ETIQA05,ETIQUETA AVERY 2106 CIRC NARANJA 3/4,OBN C,PIEZA,18/05/0201,09/10/17,18
ETIQA06,ETIQUETA AVERY 2110 CIRCULAR AZUL,OBN C,PIEZA,25/01/18,18/10/17,11
ETIQA07,ETIQUETA AVERY 6490 C/375 P/DISKET,OBN C,PIEZA,31/05/07,30/05/07,0
ETIQA08,ETIQ AVERY 2103 CIRCULAR AZUL CLARO,OBN C,PIEZA,27/01/18,06/02/18,1
ETIQA0S,ETIQUETA AVERY 3/4 5472 SURTIDO,OBN C,Pieza,23/02/18,24/02/18,0
ETIQA2104,ETIQUETA AVERY CIRCULAR 1.9CM AMARILLO,OBN C,PIEZA,26/10/11,27/10/11,0
ETIQADC20,ETIQUETA ADHESIVA BLANCA C/20,OBN C,PIEZA,12/07/12,12/07/12,0
ETIQAM1,ETIQUETA AMARILLA T/CARTA FLOUR,OBN C,PIEZA,01/08/15,03/10/15,0
ETIQAV601,ETIQUETA AVERY 30601/5161 2.5 X 10.2,OBN C,CJA C/100,28/06/12,19/02/10,1
ETIQBR01,ETIQUETA BROTHER PRECORTADA 1-1/7X2-3/7,OBN C,PIEZA,17/10/13,,0
ETIQCAD01,ETIQUETA CADUCIDAD BLANCA,OBN C,Pieza,13/09/17,19/02/10,31
ETIQF00,ETIQUETA FAMA 105  3X4 CON HILO,OBN C,CAJA,08/06/17,16/02/18,0
ETIQF00A,ETIQUETA FAMA # 100 C/1000,OBN C,PIEZA,21/03/14,21/03/14,0
ETIQF00B,ETIQUETA FAMA 106 C/1000,OBN C,PIEZA,06/09/17,20/12/17,2
ETIQF00C,ETIQUETA FAMA 107 C/1000,OBN C,PIEZA,04/04/18,05/04/18,4
ETIQF00D,ETIQUETA FAMA #103 C/1000,OBN C,PIEZA,10/10/14,21/10/14,0
ETIQF01,ETIQUETA JANEL 5931 LASER C/25HOJAS C/2,OBN C,PIEZA,09/01/18,10/01/18,4
ETIQF02,ETIQUETA EXPRESS NASA No.5,OBN C,PIEZA,18/01/16,24/02/16,0
ETIQF02M,ETIQUETA EXPRESS MAPASA 215 6X12.3cm,OBN C,Caja,19/02/18,01/03/18,1
ETIQF102,ETIQUETA FAMA #102 C/1000,OBN C,Paquete,16/05/17,19/02/10,7
ETIQFA25,ETIQ COL FAMA A25 ARO ALUM C/25,OBN C,PIEZA,17/10/15,19/02/10,1
ETIQFA31,ETIQ COL FAMA A31 ARO ALUM C/25,OBN C,Pieza,26/02/18,28/02/18,0
ETIQL08,ETIQUETA LESA No. 8,OBN C,Pieza,23/09/14,19/02/10,1
ETIQL09,ETIQUETA LESA No. 9,OBN C,Pieza,,22/09/17,5
ETIQL66,ETIQUETA LESA No. 5,OBN C,PIEZA,23/04/14,19/02/10,10
ETIQL67,ETIQUETA LESA No. 1,OBN C,PIEZA,06/05/0201,19/02/10,10
ETIQL68,ETIQUETA LESA No. 15,OBN C,PIEZA,12/02/16,13/05/17,2
ETIQL69A,ETIQUETA LESA No. 6,OBN C,PIEZA,08/07/13,05/04/18,15
ETIQL70,ETIQUETA LESA No. 13,OBN C,PIEZA,05/06/17,07/06/17,4
ETIQL71,ETIQUETA LESA No. 7,OBN C,PIEZA,17/03/18,24/03/18,8
ETIQL72,ETIQUETA LESA No. 10,OBN C,PIEZA,15/02/18,19/02/10,11
ETIQL72.,ETIQUETA LESA No. 11,OBN C,PIEZA,,,0
ETIQL73,ETIQUETA LESA NO. 16,OBN C,PIEZA,12/05/0201,18/03/17,19
"ETIQL73.,",ETIQUETA LESA NO. 14,OBN C,PIEZA,,19/02/10,1
ETIQL74,ETIQUETA LESA No. 19,OBN C,PIEZA,01/03/16,19/02/10,1
ETIQL75,ETIQUETA LESA No. 12 FLUORECENTE,OBN C,PIEZA,21/10/13,,0
ETIQL76,ETIQUETA LESA No. 4,OBN C,PIEZA,16/08/13,20/11/13,0
ETIQL77,ETIQUETA LESA No.24,OBN C,PIEZA,17/10/15,19/02/10,0
ETIQL80,ETIQUETA LESA No. 20,OBN C,PIEZA,27/07/17,19/02/10,9
ETIQPR01,ETIQUETA PRECIO BLANCA,OBN C,Pieza,,,0
ETIQSM1221,ETIQUETADORA SMART 12X21 1 LINEA 8 DIG,OBM C,PIEZA,21/11/17,23/01/18,0
ETIQSM2616,ETIQUETADORA SMART 26X16 2 LIN 16 DIG,OBM C,PIEZA,15/05/17,15/05/17,0
ETIQT01,ROLLO ETIQUETA TERMICA 76X76 MM C/2000,OBN C,PIEZA,26/10/17,02/02/18,0
ETIQTU1,ETIQUETA OPEN 22X12,OBN C,PIEZA,12/02/14,14/11/17,19
ETIQTU10,ETIQUETA 22X16 ROLLO C/1000 P/ETIQ METO,OBN C,PIEZA,20/07/12,24/07/12,0
ETIQTU10A,ETIQUETA 26X16 BCA LOTE/CAD C/1000 C/80R,OBN C,PIEZA,05/10/17,12/10/17,12
ETIQTU11,"ETIQUETA TD 51X25 ROLLO C-1.5"" C/2000",OBN C,PIEZA,19/11/15,16/02/16,0
ETIQTU12,ETIQUETA 16X18 BLANCA ROLLO C/1000,OBN C,PIEZA,14/12/16,16/05/17,37
ETIQTU13,"ETIQ TD 102X51 ROLLO  C/1000 C-1.5""BLAN",OBN C,PIEZA,30/11/17,04/12/17,1
ETIQTU13A,ETIQUETA 102X165 TT MILLAR,OBN C,PIEZA,11/03/14,13/03/14,0
ETIQTU13B,ETIQUETA 102X51 TT RECTANG 1PASO C/920,OBN C,ROLLO,19/02/14,25/02/14,0
ETIQTU13C,ETIQUETA 102X76 1PASO C/625 50MTS,OBN C,PIEZA,04/10/17,02/02/18,0
ETIQTU13D,ETIQUETA TT 102X152MM RECT C/320 1 ALPAS,OBN C,PIEZA,21/12/15,05/01/16,0
ETIQTU13E,"ETIQUETA TT102X76 RECT 1 AL PASO C/1,885",OBN C,Pieza,23/05/17,30/05/17,0
ETIQTU14,"ETIQ TD 57X40 C/1000 1.5"" ROLLO",OBN C,PIEZA,13/12/17,20/12/17,0
ETIQTU14C,ETIQ TERMICA 102X165MM (4X7) RECT,OFE C,PIEZA,,19/02/10,0
ETIQTU14D,ETIQ TERM 102X152MM RECT C/960,OBN C,ROLLO,23/11/16,19/02/10,0
ETIQTU15,"ETIQUETA TT 75X51 BLANCA 1.5"" CENTR",OBN C,PIEZA,09/04/13,,0
ETIQTU2,ETIQUETA MOTEX 12X21 ROLLO VERDE,OBN C,PIEZA,29/01/18,23/03/18,57.9
ETIQTU2B,ETIQUETA MOTEX CHICA BLANCA,OBN C,Pieza,27/05/02,19/02/10,27
ETIQTU3,ETIQUETA MOTEX 12X21 ROLLO COLOR,OBN C,PIEZA,24/11/15,27/05/16,0
ETIQTU3A,ETIQUETA MOTEX 12X21 ROLLO AMARILLO,OBN C,PIEZA,22/03/18,03/04/18,139
ETIQTU3B,ETIQUETA MOTEX 12X21 ROLLO BLANCA,OBN C,Pieza,01/11/17,13/11/17,129
ETIQTU3F,ETIQUETA MOTEX 12X21 ROLLO FIUSHA,OBN C,PIEZA,04/11/17,02/04/18,118
ETIQTU3G,ETIQUETA MOTEX 26X16 ROLLO NARANJA,OBN C,RLL C/1000,13/03/18,09/03/18,31
ETIQTU5,ETIQUETE 12x21 BCA. IMPRESA ROLL C/1000,OBN C,PIEZA,20/10/11,21/10/11,0
ETIQTU6,ETIQUETA TT  60X32 ROLLO C/1000,OBN C,PIEZA,22/02/12,23/02/12,0
ETIQUE3,ETIQUETADORA SMART MOTEX MX5500 1 LINEA,OBM C,PIEZA,16/02/18,14/02/18,2
ETIQUE4,ETIQUETADORA OPEN S16 2 LINEAS ALFANUM,OBM C,PIEZA,13/11/17,14/11/17,0
ETIQUE5,"KIT ETIQUETADORA PRINTEX 3"" C/6ROLL 1 RO",OBM C,PIEZA,21/08/14,21/08/14,0
ETIQUE7,ETIQUETA  OPEN 26 X16 BLANCA,OBN C,PIEZA,22/01/18,22/01/18,0
ETIQUE8,ETIQUETA OPEN 26X16 COLOR,OBN C,PIEZA,11/09/17,19/02/10,0
ETIQUE9,ETIQUETA 26X16 BLANCA 2 LIN C/1000 C80,OBN C,PIEZA,16/11/17,16/11/17,0
ETIQUTU3N,ETIQUETA MOTEX 12X21 ROLLO NARANJA,OBN C,Pieza,22/03/18,03/04/18,148
EXHIB1,****NO USAR****,,PAQ/110,04/05/17,,0
EXPEND01,EXPENDEDOR (TOMA-TUR NOTICKETS TURNO RJ,U   F,PIEZA,29/04/14,30/04/14,0
EXPOSI1,EXPOSITOR ACRILICO 105X40MM INCLINADO,U   F,PIEZA,30/05/12,30/05/12,0
EXT15M,EXTENCION USO RUDO 15MT POLARIZADA,ID  F,PIEZA,29/05/15,29/05/15,0
EXT15MV,EXTENCION USO RUDO 15m VOLTECH ER-15X16,ID  F,PIEZA,26/02/16,26/02/16,0
EXTE48024,48024 EXTENSION 6MTS BLANC DOMESTIC,ID  F,PIEZA,23/05/0201,19/02/10,0
EXTEN10,EXTENCION DE USO RUTO 10 MTS,BY  E,PIEZA,13/11/14,13/11/14,0
EXTEN11,EXTENCION VOLTECH 4MTS 48043,ID  F,PIEZA,12/03/15,13/03/15,0
EXTEN4MV,EXTENSION USO RUDO 4 MTS VOLTECH (CAL16),ID  F,PIEZA,27/02/15,27/02/15,0
EXTINT01,EXTINTOR 4.5 KGS A BASE DE POLVO QUIMICO,U   F,PIEZA,07/08/12,15/08/12,0
FAFB500,FUENTE DE PODER AF-B500P 500W,IH  C,PIEZA,25/01/13,05/04/17,0
FAJA001,FAJA  NEGRA DE TIRANTE,PL  F,PIEZA,08/03/14,10/03/14,0
FAJA002,......FAJA ELASTICA C/3ER CINTO,PL  F,PIEZA,23/11/12,19/12/12,0
FAJA003,FAJA P/CARGA C/TIRANTES,PL  F,PIEZA,17/09/13,19/02/10,0
FAJA05,FAJA DE CUATRO GANCHOS CH MED GDE,PL  F,PIEZA,07/01/16,08/01/16,0
FAXB3225,MULTIF XEROX 3225 DNI,KJ  C,PIEZA,22/04/15,23/04/15,0
FAXB375,FAX BROTHER 275 PAPEL THERMICO 50 MT,KD  C,PIEZA,20/10/15,22/10/15,0
FAXB636,FAX BROTHER 2820 LASER C/IMPRESORA,KD  C,PIEZA,23/03/10,25/03/10,0
FAXB845,MULTIPASS MF-4350 CANON LASER,KJ  C,PIEZA,02/04/09,04/06/09,0
FAXBR2840,FAX BROTHER 2840 LASER,KD  C,PIEZA,25/04/16,25/04/16,0
FAXCAN1,FAX BROTHER 575  PAPEL BOND.,KD  C,PIEZA,14/10/15,11/07/12,0
FAXCAN280,MULTIF CANON PIXMA MP-280,KI  C,PIEZA,29/11/12,30/11/12,0
FAXCAN5,MF-4450 IMAGE CLASS MULTF CANON,,PIEZA,21/06/11,24/06/11,0
FAXP37L,****NO USAR**** PANASOC KX-FT 931 LAB FA,KD  C,PIEZA,02/05/13,24/08/11,0
FAXP981,KXFT-981 FAX PAPEL TERMICO,KD  C,PIEZA,26/07/14,29/07/14,0
FECH261,FECHADO MAXUM E-261 A/R,OBO C,PIEZA,13/11/14,15/11/14,0
FECHAC1,FECHADOR AUTOENTINTABLE 6X4 USO RUDO,OBO C,PIEZA,24/05/17,30/05/17,0
FECHAC10,FECHADOR 2910,OBO C,Pieza,17/03/16,18/03/16,0
FECHAC2,FECHADOR AUTOENTINTABLE 39X39,OBO C,PIEZA,13/06/16,13/06/16,0
FECHAC3,FECHADOR MAXUM VD TERMINADO,OBO C,PIEZA,05/01/15,10/01/15,0
FECHAC4,FECHADOR AUTOMATICO E261 R/A,OBO C,PIEZA,14/03/14,20/03/14,0
FECHAC5,FECHADOR AUTOM M732 30X30,OBO C,PIEZA,13/12/12,17/01/12,0
FECHAC6,FECHADOR AUTOMATICO S-161,OBO C,PIEZA,20/03/15,20/03/15,0
FECHAC7,FECHADOR MAXUM M-800 T/P METALICO,OBO C,PIEZA,10/08/12,14/08/12,0
FECHAC8,FECHADOR MANUAL N.4 TERMINADO,OBO C,PIEZA,20/03/15,26/03/15,0
FECHAC9,FECHADOR TRODAT 60X40 4727,OBO C,PIEZA,05/10/17,10/10/17,0
FECHECO09,****NO USAR****OR MANUAL TROT 2910 ECO,OFJ F,PIEZA,17/03/16,18/03/16,0
FECHTR2910,FECHADOR TRODAT 60X40 2910,OFJ F,PIEZA,30/01/18,31/01/18,0
FERR-001,MOLEJA P/GAS 6K,U   F,PIEZA,26/05/15,27/05/15,0
FERR-002,MAGUERA P/GAS 3MT MIBER,U   F,PIEZA,26/05/15,27/05/15,0
FERR-003,REG 1 VIA INGUSA,U   F,PIEZA,28/05/15,01/06/15,0
FERR-004,NIPLE TERMINAL 3/8 x 3/8 GAS,U   F,PIEZA,28/05/15,01/06/15,0
