Clave del artículo,Descripción del artículo,Línea,Unidad de entrada,Fecha de última compra,Fecha de última venta,Existencias, Precio 
ETIJA04E,ETIQUETA JANEL No. 04 (0820) AMARILLA,OBN C,PIEZA,14/11/17,,11, $11.15 
ETIJA05,ETIQUETA JANEL No. 5,OBN C,PIEZA,17/07/14,19/02/10,10, $19.00 
ETIJA06,ETIQUETA JANEL No. 06 (1338) BLANCA,OBN C,PAQ C/900,04/06/18,04/06/18,93, $19.84 
ETIJA06V,ETIQUETA JANEL No. 06 (1338) VERDE,OBN C,PAQ C/900,,08/04/16,0, $-   
ETIJA07,ETIQUETA JANEL No. 07 (2538),OBN C,PIEZA,04/06/18,06/06/18,64, $18.85 
ETIJA08,ETIQUETA JANEL No. 08 (2513),OBN C,PIEZA,08/05/18,09/05/18,25, $18.85 
ETIJA09,ETIQUETA JANEL No. 09 (0013),OBN C,PIEZA,23/02/18,16/05/18,46, $18.85 
ETIJA10,ETIQUETA JANEL No. 10 (0009) C/4620,OBN C,PIEZA,11/04/13,13/12/17,11, $8.13 
ETIJA11,ETIQUETA JANEL No. 11 C/1680,OBN C,PIEZA,23/05/06,03/07/12,0, $10.38 
ETIJA12,ETIQUETA JANEL No. 12 (0025) BCA,OBN C,PIEZA,27/05/17,03/04/18,9, $18.85 
ETIJA13,ETIQUETA JANEL No. 13 C/180 (6747),OBN C,PIEZA,20/04/18,12/06/18,25, $18.85 
ETIJA15,ETIQUETA JANEL No. 15 C/504 (1950),OBN C,PIEZA,31/05/18,06/06/18,60, $18.85 
ETIJA19,ETIQUETA JANEL No. 19 (5050) C/168,OBN C,PIEZA,31/05/18,04/06/18,60, $18.85 
ETIJA19E,ETIQUETA JANEL No. 28 (0019) PLATA,OBN C,PIEZA,18/04/13,19/04/13,0, $8.13 
ETIJA20,ETIQUETA JANEL No. 20 FILE C/280,OBN C,PIEZA,28/02/18,11/06/18,35, $18.85 
ETIJA21,ETIQUETA JANEL No. 21 (0534) C/2484,OBN C,PIEZA,29/07/14,30/05/17,3, $13.43 
ETIJA21P,HOJA ETIQUETA JANEL No. 21 (0534),OBN C,Pieza,,,0, $0.70 
ETIJA22,ETIQUETA JANEL No. 22 (1319),OBN C,PIEZA,29/07/14,19/02/10,1, $12.70 
ETIJA23,ETIQUETA JANEL No. 23 (1938),OBN C,PIEZA,07/11/17,03/05/18,41, $18.85 
ETIJA24,ETIQUETA JANEL No. 24  (3264) BCA,OBN C,Paquete,12/03/18,13/06/18,59, $18.85 
ETIJA24B,****NO USAR**** DUP ETIQA JANEL No.24,OBN C,Pieza,28/03/15,06/05/15,0, $12.97 
ETIJA24V,****NO USAR**** No. 24 (3264) VERDE,OBN C,Paquete,,,0, $-   
ETIJA25,ETIQUETA JANEL No. 25 (5000) BLANCA,OBN C,PIEZA,22/05/18,24/05/18,46, $18.85 
ETIJA25ECO,ETIQUETA JANEL No. 25 (5000) NARANJA,OBN C,PAQ C/48,19/12/16,19/02/10,0, $8.40 
ETIJA26,ETIQUETA JANEL No. 26 (0952),OBN C,PIEZA,12/11/16,08/05/18,12, $13.76 
ETIJA28,ETIQUETA JANEL No. 28 (0019) BLANCA,OBN C,PIEZA,11/02/16,19/02/10,14, $13.05 
ETIJA28A,ETIQUETA JANEL No. 28 (0019) AMARILLO,OBN C,PAQUETE,28/03/17,04/05/17,0, $10.10 
ETIJA28N,ETIQUETA JANEL No. 28 (0019) NARANJA,OBN C,PAQUETE,28/03/17,31/01/18,33, $10.10 
ETIJA28NG,ETIQUETA JANEL No. 28 (0019) NEGRA,OBN C,PAQUETE,11/02/16,12/02/16,0, $9.24 
ETIJA28O,ETIQUETA JANEL No. 28 (0019) ORO,OBN C,PAQUETE,,19/02/10,0, $10.68 
ETIJA28RS,ETIQUETA JANEL No. 28 (0019) ROSA,OBN C,PAQUETE,15/02/18,12/02/16,4, $11.97 
ETIJA28V,ETIQUETA JANEL No. 28 (0019) VERDE,OBN C,PAQUETE,28/03/17,29/03/17,0, $11.15 
ETIJA29,ETIQUETA JANEL No. 29 (0032) REDONDA,OBN C,PIEZA,17/01/08,19/02/10,4, $10.38 
ETIJA29P,HOJA ETIQUETA JANEL No. 29 (0032) REDOND,OBN C,Pieza,,,0, $0.70 
ETIJA3264,ETIQUETA JANEL No. 24 (3264) VERDE,OBN C,PIEZA,27/11/17,29/11/17,0, $11.15 
ETIJA3364N,ETIQUETA JANEL No. 24 (3264) NARANJA,OBN C,PIEZA,13/11/17,01/06/18,3, $11.04 
ETIJA36R,ETIQUETA JANEL No. 24 (3264) ROSA,OBN C,PIEZA,23/07/16,19/02/10,15, $-   
ETIJA37,ETIQUETA JANEL No. 24 (3264) AMARILLO,OBN C,PIEZA,27/11/17,29/11/17,0, $11.15 
ETIJA5010,ETIQUETA NAVITEK 50100 NARANJA,OBN C,PIEZA,29/09/14,,0, $8.13 
ETIJA5165E,ETIQUETA JANEL 5165 C/100,OBN C,PAQUETE,07/01/16,18/01/16,0, $173.71 
ETIJA59,ETIQ AVERY 5970 2.5X6.7,OBN C,PIEZA,,,0, $129.40 
ETILA05,"ETIQUETA AVERY CIRC 2105 3/4"" VDE 2105",DEPOT,PIEZA,,07/08/17,8, $39.91 
ETILA61,ETIQUETA AVERY 5160 2.5 X 6.7,OBN C,CJA C/100,24/03/18,09/04/18,1, $643.10 
ETILA62,"ETIQUETA AVERY 5261 LASER 1""x 4"" C/ 500",OBN C,PIEZA,27/11/17,28/11/17,0, $177.41 
ETILA63,ETIQ AVERY 5161 1X4 C/2000 LASER,OBN C,PIEZA,19/09/16,14/06/17,0, $405.66 
ETILA67,ETIQUETA AVERY 5267 1/2 X 1 3/4 C/2000,OBN C,PIEZA,04/12/17,14/12/17,14, $192.19 
ETILA68,ETIQUETA JANEL 5267 T/C C/25,OBN C,PIEZA,28/05/18,28/05/18,29, $47.84 
ETILA69,ETIQUETA AVERY 5931 IMPRE LASER  CD DVD,OBN C,PIEZA,11/12/13,24/08/10,0, $223.71 
ETILA79,ETIQUETA AVERY 5266 2/3x3 7/16 P/FOLDER,OBN C,PIEZA,30/10/12,12/06/18,0, $260.43 
ETILA79.,ETIQUETA AVERY 5366 P/FOLDER BCA C/1500,OBN C,PIEZA,01/02/18,01/02/18,0, $204.75 
ETILA79A,ETIQ JANEL 5266 T/C 25HJ,OBN C,PIEZA,08/03/16,15/03/16,0, $57.82 
ETILA83,ETIQUETA AVERY 8371 TARJ PRESENTACION,OBN C,PIEZA,04/09/08,19/02/10,1, $99.26 
ETILLA2,ETIQ P/LLAVE ARIL MET C/50 11025,OBM C,CAJA,15/07/14,06/01/15,0, $67.55 
ETILLA3,ETIQ P/LLAVE PLASTICO C/60 COL.,OBM C,PIEZA,02/07/12,27/07/12,0, $135.52 
ETILLA4,ETIQ PORTA LLAVES C/24 ACRIMET 141.0,OBM C,PIEZA,09/06/18,13/06/18,3, $97.33 
ETILLA6,ORG ETIQUETA P/LLAVES  C/8 ACRIMET,OBM C,PIEZA,25/06/12,25/06/12,0, $45.37 
ETILLA8,ETIQUETA PORTALLAVES ACRIMET C/60 142.0,OBM C,PAQUETE,18/04/18,22/05/18,3, $171.86 
ETIQ102,ETIQUETA P/COLGAR No102 C/100,OBN C,PIEZA,26/08/13,18/07/11,0, $154.00 
ETIQ3215,ETIQUETA RODAK 3.5X15/16 C/5MILL 1 PASO,OBN C,PIEZA,01/04/16,02/04/16,0, $409.58 
ETIQ367,ETIQUETA TT 36X7MM RECT ROLLO,OBN C,PIEZA,18/08/14,20/08/14,0, $120.27 
ETIQ4115,ETIQUETA RODAK 4X1 15/16 C/5M 1 PASO,OBN C,PIEZA,22/07/13,,0, $691.80 
ETIQ5125,ETIQUETA TT 51X25 1 PASO,OBN C,PIEZA,,22/07/14,0, $66.18 
ETIQ5795,ETIQUETA AVERY 5795 1/4 COLORESC/576,DEPOT,PIEZA,19/11/14,09/12/14,0, $20.56 
ETIQ700,ETIQUETADORA BROTHER  QL-700,OBM C,PIEZA,01/06/15,05/07/17,0," $2,268.00 "
ETIQ7625,ETIQUETA TD 76X25 MM ROLLO C/1000,OBN C,PIEZA,11/09/14,31/03/17,0, $89.67 
ETIQ8GS,ETIQUETA ROLLO 8GS COLOR,OBN C,PIEZA,12/01/16,,0, $7.15 
ETIQA01,ETIQUETA AVERY 2110 CIRC AZ 3/4,OBN C,PIEZA,28/05/15,02/06/15,0, $35.11 
ETIQA02,ETIQUETA AVERY 2107 CIRC ROJA 3/4,OBN C,PIEZA,18/05/02,08/05/18,4, $60.48 
ETIQA03,ETIQUETA AVERY 2109 CIRC VERDE 3/4,DEPOT,PIEZA,18/05/02,08/05/18,0, $60.48 
ETIQA04,ETIQUETA AVERY 2104 CIRC AMAR 3/4,OBN C,PIEZA,01/10/16,16/03/18,3, $60.48 
ETIQA04A,ETIQUETA AVERY 5472 ROJA 3/4,OBN C,PIEZA,28/04/15,14/08/15,0, $-   
ETIQA05,ETIQUETA AVERY 2106 CIRC NARANJA 3/4,OBN C,PIEZA,,09/10/17,18, $36.34 
ETIQA06,ETIQUETA AVERY 2110 CIRCULAR AZUL,OBN C,PIEZA,25/01/18,18/10/17,11, $51.74 
ETIQA07,ETIQUETA AVERY 6490 C/375 P/DISKET,OBN C,PIEZA,31/05/07,30/05/07,0, $152.26 
ETIQA08,ETIQ AVERY 2103 CIRCULAR AZUL CLARO,OBN C,PIEZA,27/01/18,06/02/18,1, $51.74 
ETIQA0S,ETIQUETA AVERY 3/4 5472 SURTIDO,OBN C,Pieza,23/02/18,24/02/18,0, $49.90 
ETIQA2104,ETIQUETA AVERY CIRCULAR 1.9CM AMARILLO,OBN C,PIEZA,26/10/11,27/10/11,0, $31.98 
ETIQADC20,ETIQUETA ADHESIVA BLANCA C/20,OBN C,PIEZA,12/07/12,12/07/12,0, $17.62 
ETIQAM1,ETIQUETA AMARILLA T/CARTA FLOUR,OBN C,PIEZA,01/08/15,03/10/15,0, $1.62 
ETIQAV601,ETIQUETA AVERY 30601/5161 2.5 X 10.2,OBN C,CJA C/100,28/06/12,19/02/10,1, $155.75 
ETIQBR01,ETIQUETA BROTHER PRECORTADA 1-1/7X2-3/7,OBN C,PIEZA,17/10/13,,0, $362.36 
ETIQCAD01,ETIQUETA CADUCIDAD BLANCA,OBN C,Pieza,13/09/17,19/02/10,31, $-   
ETIQF00,ETIQUETA FAMA 105  3X4 CON HILO,OBN C,CAJA,28/05/18,30/05/18,0, $247.63 
ETIQF00A,ETIQUETA FAMA # 100 C/1000,OBN C,PIEZA,21/03/14,21/03/14,0, $141.68 
ETIQF00B,ETIQUETA FAMA 106 C/1000,OBN C,PIEZA,06/09/17,20/12/17,2, $261.18 
ETIQF00C,ETIQUETA FAMA 107 C/1000,OBN C,PIEZA,04/04/18,05/04/18,4, $325.25 
ETIQF00D,ETIQUETA FAMA #103 C/1000,OBN C,PIEZA,10/10/14,21/10/14,0, $159.54 
ETIQF01,ETIQUETA JANEL 5931 LASER C/25HOJAS C/2,OBN C,PIEZA,09/01/18,10/01/18,4, $57.66 
ETIQF02,ETIQUETA EXPRESS NASA No.5,OBN C,PIEZA,18/01/16,24/02/16,0, $348.66 
ETIQF02M,ETIQUETA EXPRESS MAPASA 215 6X12.3cm,OBN C,Caja,09/04/18,17/05/18,1, $498.96 
ETIQF102,ETIQUETA FAMA #102 C/1000,OBN C,Paquete,16/05/17,19/02/10,7, $187.26 
ETIQFA25,ETIQ COL FAMA A25 ARO ALUM C/25,OBN C,PIEZA,17/10/15,19/02/10,1, $31.05 
ETIQFA31,ETIQ COL FAMA A31 ARO ALUM C/25,OBN C,Pieza,26/02/18,28/02/18,0, $41.27 
ETIQL08,ETIQUETA LESA No. 8,OBN C,Pieza,23/09/14,19/02/10,1, $16.63 
ETIQL09,ETIQUETA LESA No. 9,OBN C,Pieza,,22/09/17,5, $-   
ETIQL66,ETIQUETA LESA No. 5,OBN C,PIEZA,23/04/14,19/02/10,10, $16.03 
ETIQL67,ETIQUETA LESA No. 1,OBN C,PIEZA,25/04/18,27/04/18,11, $16.02 
ETIQL68,ETIQUETA LESA No. 15,OBN C,PIEZA,12/02/16,13/05/17,2, $17.55 
ETIQL69A,ETIQUETA LESA No. 6,OBN C,PIEZA,08/07/13,05/04/18,15, $15.84 
ETIQL70,ETIQUETA LESA No. 13,OBN C,PIEZA,05/06/17,07/06/17,4, $20.17 
ETIQL71,ETIQUETA LESA No. 7,OBN C,PIEZA,17/03/18,24/03/18,8, $20.45 
ETIQL72,ETIQUETA LESA No. 10,OBN C,PIEZA,15/02/18,19/02/10,11, $21.57 
ETIQL72.,ETIQUETA LESA No. 11,OBN C,PIEZA,,,0, $-   
ETIQL73,ETIQUETA LESA NO. 16,OBN C,PIEZA,12/05/02,09/05/18,17, $19.80 
"ETIQL73.,",ETIQUETA LESA NO. 14,OBN C,PIEZA,,19/02/10,1, $-   
ETIQL74,ETIQUETA LESA No. 19,OBN C,PIEZA,01/03/16,19/02/10,1, $19.03 
ETIQL75,ETIQUETA LESA No. 12 FLUORECENTE,OBN C,PIEZA,21/10/13,,0, $18.42 
ETIQL76,ETIQUETA LESA No. 4,OBN C,PIEZA,16/08/13,20/11/13,0, $16.63 
ETIQL77,ETIQUETA LESA No.24,OBN C,PIEZA,17/10/15,19/02/10,0, $17.86 
ETIQL80,ETIQUETA LESA No. 20,OBN C,PIEZA,12/05/18,14/05/18,33, $20.45 
ETIQPR01,ETIQUETA PRECIO BLANCA,OBN C,Pieza,,,0, $-   
ETIQSM1221,ETIQUETADORA SMART 12X21 1 LINEA 8 DIG,OBM C,PIEZA,21/11/17,23/01/18,0, $424.95 
ETIQSM2616,ETIQUETADORA SMART 26X16 2 LIN 16 DIG,OBM C,PIEZA,15/05/17,15/05/17,0," $1,019.87 "
ETIQT01,ROLLO ETIQUETA TERMICA 76X76 MM C/2000,OBN C,PIEZA,26/10/17,02/02/18,0, $129.72 
ETIQTU1,ETIQUETA OPEN 22X12,OBN C,PIEZA,12/02/14,14/11/17,19, $12.67 
ETIQTU10,ETIQUETA 22X16 ROLLO C/1000 P/ETIQ METO,OBN C,PIEZA,20/07/12,24/07/12,0, $9.69 
ETIQTU10A,ETIQUETA 26X16 BCA LOTE/CAD C/1000 C/80R,OBN C,PIEZA,05/10/17,12/10/17,12, $22.26 
ETIQTU11,"ETIQUETA TD 51X25 ROLLO C-1.5"" C/2000",OBN C,PIEZA,19/11/15,16/02/16,0, $88.09 
ETIQTU12,ETIQUETA 16X18 BLANCA ROLLO C/1000,OBN C,PIEZA,14/12/16,16/05/17,37, $8.67 
ETIQTU13,"ETIQ TD 102X51 ROLLO  C/1000 C-1.5""BLAN",OBN C,PIEZA,30/11/17,04/12/17,1, $262.89 
ETIQTU13A,ETIQUETA 102X165 TT MILLAR,OBN C,PIEZA,11/03/14,13/03/14,0, $157.09 
ETIQTU13B,ETIQUETA 102X51 TT RECTANG 1PASO C/920,OBN C,ROLLO,19/02/14,25/02/14,0, $160.27 
ETIQTU13C,ETIQUETA 102X76 1PASO C/625 50MTS,OBN C,PIEZA,04/10/17,02/02/18,0, $190.41 
ETIQTU13D,ETIQUETA TT 102X152MM RECT C/320 1 ALPAS,OBN C,PIEZA,21/12/15,05/01/16,0, $156.86 
ETIQTU13E,"ETIQUETA TT102X76 RECT 1 AL PASO C/1,885",OBN C,Pieza,23/05/17,30/05/17,0, $394.80 
ETIQTU14,"ETIQ TD 57X40 C/1000 1.5"" ROLLO",OBN C,PIEZA,13/12/17,20/12/17,0, $61.82 
ETIQTU14C,ETIQ TERMICA 102X165MM (4X7) RECT,OFE C,PIEZA,,19/02/10,0, $-   
ETIQTU14D,ETIQ TERM 102X152MM RECT C/960,OBN C,ROLLO,23/11/16,19/02/10,0, $403.10 
ETIQTU15,"ETIQUETA TT 75X51 BLANCA 1.5"" CENTR",OBN C,PIEZA,09/04/13,,0, $108.06 
ETIQTU2,ETIQUETA MOTEX 12X21 ROLLO VERDE,OBN C,PIEZA,21/05/18,31/05/18,284.9, $8.10 
ETIQTU2B,ETIQUETA MOTEX CHICA BLANCA,OBN C,Pieza,27/05/02,19/02/10,27, $6.08 
ETIQTU3,ETIQUETA MOTEX 12X21 ROLLO COLOR,OBN C,PIEZA,24/11/15,27/05/16,0, $6.85 
ETIQTU3A,ETIQUETA MOTEX 12X21 ROLLO AMARILLO,OBN C,PIEZA,09/05/18,31/05/18,141, $8.10 
ETIQTU3B,ETIQUETA MOTEX 12X21 ROLLO BLANCA,OBN C,Pieza,29/05/18,30/05/18,49, $8.09 
ETIQTU3F,ETIQUETA MOTEX 12X21 ROLLO FIUSHA,OBN C,PIEZA,09/05/18,11/06/18,226, $8.10 
ETIQTU3G,ETIQUETA MOTEX 26X16 ROLLO NARANJA,OBN C,RLL C/1000,13/03/18,09/03/18,31, $23.07 
ETIQTU5,ETIQUETE 12x21 BCA. IMPRESA ROLL C/1000,OBN C,PIEZA,20/10/11,21/10/11,0, $5.98 
ETIQTU6,ETIQUETA TT  60X32 ROLLO C/1000,OBN C,PIEZA,22/02/12,23/02/12,0, $74.09 
ETIQUE3,ETIQUETADORA SMART MOTEX MX5500 1 LINEA,OBM C,PIEZA,09/05/18,12/05/18,4, $596.92 
ETIQUE4,ETIQUETADORA OPEN S16 2 LINEAS ALFANUM,OBM C,PIEZA,13/11/17,14/11/17,0," $2,278.65 "
ETIQUE5,"KIT ETIQUETADORA PRINTEX 3"" C/6ROLL 1 RO",OBM C,PIEZA,21/08/14,21/08/14,0," $2,557.44 "
ETIQUE6,"ETIQUETADORA SATO 216, 2 LINEAS",OBM C,PIEZA,16/05/18,16/05/18,0, $-   
ETIQUE7,ETIQUETA  OPEN 26 X16 BLANCA,OBN C,PIEZA,22/01/18,22/01/18,0, $17.88 
ETIQUE8,ETIQUETA OPEN 26X16 COLOR,OBN C,PIEZA,11/09/17,19/02/10,0, $26.99 
ETIQUE9,ETIQUETA 26X16 BLANCA 2 LIN C/1000 C80,OBN C,PIEZA,16/11/17,16/11/17,0, $19.57 
ETIQUTU3N,ETIQUETA MOTEX 12X21 ROLLO NARANJA,OBN C,Pieza,30/04/18,06/06/18,113, $8.10 
EXHIB1,****NO USAR****,,PAQ/110,04/05/17,,0," $1,760.36 "
EXPEND01,EXPENDEDOR (TOMA-TUR NOTICKETS TURNO RJ,U   F,PIEZA,29/04/14,30/04/14,0, $555.62 
EXPOSI1,EXPOSITOR ACRILICO 105X40MM INCLINADO,U   F,PIEZA,30/05/12,30/05/12,0, $18.13 
EXT15M,EXTENCION USO RUDO 15MT POLARIZADA,ID  F,PIEZA,29/05/15,29/05/15,0, $450.90 
EXT15MV,EXTENCION USO RUDO 15m VOLTECH ER-15X16,ID  F,PIEZA,26/02/16,26/02/16,0, $313.84 
EXTE48024,48024 EXTENSION 6MTS BLANC DOMESTIC,ID  F,PIEZA,,19/02/10,0, $92.13 
EXTEN10,EXTENCION DE USO RUTO 10 MTS,BY  E,PIEZA,13/11/14,13/11/14,0, $-   
EXTEN11,EXTENCION VOLTECH 4MTS 48043,ID  F,PIEZA,12/03/15,13/03/15,0, $79.17 
EXTEN4MV,EXTENSION USO RUDO 4 MTS VOLTECH (CAL16),ID  F,PIEZA,27/02/15,27/02/15,0, $84.49 
EXTINT01,EXTINTOR 4.5 KGS A BASE DE POLVO QUIMICO,U   F,PIEZA,07/08/12,15/08/12,0, $912.00 
FAFB500,FUENTE DE PODER AF-B500P 500W,IH  C,PIEZA,25/01/13,05/04/17,0, $264.31 
FAJA001,FAJA  NEGRA DE TIRANTE,PL  F,PIEZA,08/03/14,10/03/14,0, $104.40 
FAJA002,......FAJA ELASTICA C/3ER CINTO,PL  F,PIEZA,23/11/12,19/12/12,0, $104.40 
FAJA003,FAJA P/CARGA C/TIRANTES,PL  F,PIEZA,17/09/13,19/02/10,0, $104.40 
FAJA05,FAJA DE CUATRO GANCHOS CH MED GDE,PL  F,PIEZA,07/01/16,08/01/16,0, $33.35 
FAXB3225,MULTIF XEROX 3225 DNI,KJ  C,PIEZA,22/04/15,23/04/15,0," $5,710.05 "
FAXB375,FAX BROTHER 275 PAPEL THERMICO 50 MT,KD  C,PIEZA,20/10/15,22/10/15,0," $1,874.98 "
FAXB636,FAX BROTHER 2820 LASER C/IMPRESORA,KD  C,PIEZA,23/03/10,25/03/10,0," $3,407.73 "
FAXB845,MULTIPASS MF-4350 CANON LASER,KJ  C,PIEZA,02/04/09,04/06/09,0," $2,098.60 "
FAXBR2840,FAX BROTHER 2840 LASER,KD  C,PIEZA,25/04/16,25/04/16,0," $5,120.65 "
FAXCAN1,FAX BROTHER 575  PAPEL BOND.,KD  C,PIEZA,14/10/15,11/07/12,0," $1,249.63 "
FAXCAN280,MULTIF CANON PIXMA MP-280,KI  C,PIEZA,29/11/12,30/11/12,0, $774.66 
FAXCAN5,MF-4450 IMAGE CLASS MULTF CANON,,PIEZA,21/06/11,24/06/11,0," $3,758.40 "
FAXP37L,****NO USAR**** PANASOC KX-FT 931 LAB FA,KD  C,PIEZA,02/05/13,24/08/11,0," $1,859.82 "
FAXP981,KXFT-981 FAX PAPEL TERMICO,KD  C,PIEZA,26/07/14,29/07/14,0," $1,860.38 "
FECH261,FECHADO MAXUM E-261 A/R,OBO C,PIEZA,13/11/14,15/11/14,0, $261.95 
FECHAC1,FECHADOR AUTOENTINTABLE 6X4 USO RUDO,OBO C,PIEZA,24/05/17,30/05/17,0, $406.00 
FECHAC10,FECHADOR 2910,OBO C,Pieza,17/03/16,18/03/16,0, $490.00 
FECHAC2,FECHADOR AUTOENTINTABLE 39X39,OBO C,PIEZA,13/06/16,13/06/16,0, $477.40 
FECHAC3,FECHADOR MAXUM VD TERMINADO,OBO C,PIEZA,05/01/15,10/01/15,0, $359.83 
FECHAC4,FECHADOR AUTOMATICO E261 R/A,OBO C,PIEZA,14/03/14,20/03/14,0, $261.95 
FECHAC5,FECHADOR AUTOM M732 30X30,OBO C,PIEZA,13/12/12,17/01/12,0, $293.15 
FECHAC6,FECHADOR AUTOMATICO S-161,OBO C,PIEZA,20/03/15,20/03/15,0, $84.00 
FECHAC7,FECHADOR MAXUM M-800 T/P METALICO,OBO C,PIEZA,10/08/12,14/08/12,0, $968.62 
FECHAC8,FECHADOR MANUAL N.4 TERMINADO,OBO C,PIEZA,20/03/15,26/03/15,0, $369.60 
FECHAC9,FECHADOR TRODAT 60X40 4727,OBO C,PIEZA,05/10/17,10/10/17,0, $617.90 
FECHECO09,****NO USAR****OR MANUAL TROT 2910 ECO,OFJ F,PIEZA,17/03/16,18/03/16,0, $417.50 
FECHTR2910,FECHADOR TRODAT 60X40 2910,OFJ F,PIEZA,30/01/18,31/01/18,0, $-   
FERR-001,MOLEJA P/GAS 6K,U   F,PIEZA,26/05/15,27/05/15,0, $936.07 
FERR-002,MAGUERA P/GAS 3MT MIBER,U   F,PIEZA,26/05/15,27/05/15,0, $144.46 
FERR-003,REG 1 VIA INGUSA,U   F,PIEZA,28/05/15,01/06/15,0, $139.23 
FERR-004,NIPLE TERMINAL 3/8 x 3/8 GAS,U   F,PIEZA,28/05/15,01/06/15,0, $15.56 
FERR-005,NIPLE CAMPANA 3/8 x 3/8 GAS,U   F,PIEZA,26/05/15,27/05/15,0, $13.26 
FERR-006,"MANGUERA P/JARDIN KELOS 3/4""",U   F,METROS,29/05/15,29/05/15,0, $21.30 
FERR-007,"CONEXION MANGUERA LATON HEMBRA 3/4""",U   F,PIEZA,29/05/15,29/05/15,0, $26.20 
FERR-008,"CONEXION MANGUERA LATON MACHO 3/4""",,PIEZA,29/05/15,29/05/15,0, $18.96 
FERR-009,CODO CAMPANA 3/8 x 3/8 GAS,U   F,PIEZA,28/05/15,,0, $25.38 
FERR-010,ANGUERA P/GAS 1MT MIBER,U   F,PIEZA,28/05/15,,0, $76.99 
FERR-011,TANQUE P/GAS 10 KG C/UNA ROSCA,U   F,PIEZA,28/05/15,,0," $1,064.65 "
FF0394,FOL FLASHFILE LITE BITONO OFI AZUL AQUA,OBU C,PAQ C/25,,19/02/10,0, $-   
FF0450,FOL FLASHFILE EJEC BITONO CTA MARRON,OBU C,PAQ C/25,22/01/18,30/05/18,2, $93.02 
FF0451,FOL FLASHFILE EJEC BITONO CTA CAFE,OBU C,PAQ C/25,18/04/18,18/04/18,10, $107.31 
FF0452,FOL FLASHFILE EJEC BITONO CTA VDE PINO,OBU C,PAQ C/25,17/11/17,08/11/17,0, $89.94 
FF0453,FOL FLASHFILE EJEC BITONO CTA AZ MARINO,OBU C,PAQ C/25,18/08/17,01/02/18,4, $89.94 
FF0454,FOL FLASHFILE EJEC BITONO CTA NEGRO,OBU C,PAQ C/25,,,0, $-   
FF0455,FOL FLASHFILE LITE BITONO CTA CORAL,OBU C,PAQ C/25,04/04/18,06/07/17,6, $107.31 
FF0456,FOL FLASHFILE LITE BITONO CTA LILA,OBU C,PAQ C/25,16/05/18,16/05/18,103, $89.94 
FF0457,FOL FLASHFILE LITE BITONO CTA ROSA,OBU C,PAQ C/25,26/04/18,14/05/18,28, $114.58 
FF0458,FOL FLASHFILE LITE BITONO CTA AZUL AQUA,OBU C,PAQ C/25,28/11/17,24/02/18,0, $89.94 
FF0459,FOL FLASHFILE LITE BITONO CTA GRIS,OBU C,PAQ C/25,21/04/18,23/04/18,2, $104.63 
FF0461,FOLDER FLASHFILE INTENSO CTA NARANJA,OBU C,PAQ C/25,12/10/17,02/03/18,0, $81.20 
FF0463,FOLDER FLASHFILE CTA INTENSO ROJO,OBU C,PAQ C/25,04/04/18,11/05/18,7.88, $97.53 
FF0466,FOLDER FLASHFILE NEON CTA LIMÓN,OBU C,PAQ C/25,23/04/18,11/04/18,1, $129.36 
FF0468,FOLDER FLASHFILE NEON CTA CORAL,OBU C,PAQ C/25,,19/04/18,4, $-   
FF0470,FOLDER FLASHFILE NEON CTA ROSA MEXICANO,OBU C,PAQ C/25,04/04/18,18/05/18,9, $137.35 
FF0471,FOL FLASHFILE LITE BITONO CTA MORADO,OBU C,PAQ C/25,,25/05/17,0, $-   
FF0840,FOL FLASHFILE EJEC BITONO CTA AZUL MARIN,OBU C,PIEZA,20/04/18,24/05/18,409, $3.29 
FF0841,FOL FLASHFILE EJEC BITONO CTA MARRON,OBU C,PIEZA,,07/06/17,0, $-   
FF0842,FOL FLASHFILE EJEC BITONO CTA VERDE PINO,OBU C,PIEZA,01/08/17,04/11/17,0, $2.81 
FF0843,FOL FLASHFILE EJEC BITONO CTA NEGRO,OBU C,PIEZA,20/09/17,25/05/18,19.68, $89.94 
FF0844,FOL FLASHFILE EJEC BITONO CTA CAFE,OBU C,PIEZA,16/02/17,30/06/17,4, $-   
FF1161,FOLDER FLASHFILE INTENSO CTA NARANJA,OBU C,PIEZA,29/11/17,11/04/18,35, $3.25 
FF1162,FOLDER FLASHFILE INTENSO CTA AMARILLO,OBU C,PIEZA,16/02/17,08/05/18,268, $2.98 
FF1163,FOLDER FLASHFILE INTENSO CTA ROJO,OBU C,PIEZA,04/04/18,08/05/18,423, $3.19 
FF1164,FOLDER FLASHFILE INTENSO CTA AZUL REY,OBU C,PIEZA,31/05/18,01/06/18,19, $3.39 
FF1165,FOLDER FLASHFILE INTENSO CTA VERDE,OBU C,PIEZA,12/03/18,06/06/18,221, $3.18 
FF1461,FOLDER FLASHFILE INTENSO OFI NARANJA,OBU C,PAQ C/25,13/07/17,14/07/17,2, $96.10 
FF1462,FOLDER FLASHFILE INTENSO OFI AMARILLO,OBU C,PAQ C/25,13/09/17,13/09/17,1, $96.10 
FF1463,FOLDER FLASHFILE INTENSO OFI ROJO,OBU C,PAQ C/25,06/03/18,09/03/18,0, $108.42 
FF1464,FOLDER FLASHFILE INTENSO OFI AZUL REY,OBU C,PAQ C/25,28/02/18,27/01/18,8, $108.42 
